Date,S&P 500 Open,S&P 500 High,S&P 500 Low,S&P 500 Close,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close
5/20/2021,13356.63,13563.52,13355.71,13535.74,4121.97,4172.8,4121.97,4159.12
5/19/2021,13078.19,13304.61,13072.23,13299.74,4098.45,4116.93,4061.41,4115.68
5/18/2021,13416.9,13485.34,13299.93,13303.64,4165.94,4169.15,4125.99,4127.83
5/17/2021,13368.8,13399.17,13265.4,13379.05,4169.92,4171.92,4142.69,4163.29
5/14/2021,13255.65,13460.88,13242.97,13429.98,4129.58,4183.13,4129.58,4173.85
5/13/2021,13150.94,13247.88,13007.24,13124.99,4074.99,4131.58,4074.99,4112.5
5/12/2021,13215.49,13288.61,13002.54,13031.68,4130.55,4134.73,4056.88,4063.04
5/11/2021,13115.85,13423.31,13107.67,13389.43,4150.34,4162.04,4111.53,4152.1
5/10/2021,13687.6,13687.93,13401.75,13401.86,4228.29,4236.39,4188.13,4188.43
5/7/2021,13723.09,13828.62,13690.75,13752.24,4210.34,4238.04,4201.64,4232.6
5/6/2021,13557.83,13635.73,13439.39,13632.84,4169.14,4202.7,4147.33,4201.62
5/5/2021,13731.13,13753.05,13553.93,13582.42,4177.06,4187.72,4160.94,4167.59
5/4/2021,13774.51,13795.57,13485.59,13633.5,4179.04,4179.04,4128.59,4164.66
5/3/2021,14031.77,14042.13,13881.51,13895.12,4191.98,4209.39,4188.03,4192.66
4/30/2021,13970.73,14084.76,13941.63,13962.68,4198.1,4198.1,4174.85,4181.17
4/29/2021,14204.52,14211.57,13952.8,14082.55,4206.14,4218.78,4176.81,4211.47
4/28/2021,14082.78,14133.65,14034.7,14051.03,4185.14,4201.53,4181.78,4183.18
4/27/2021,14170.91,14171.24,14064.28,14090.22,4188.25,4193.35,4176.22,4186.72
4/26/2021,14052.38,14154.03,14019.5,14138.78,4185.03,4194.19,4182.36,4187.62
4/23/2021,13861.37,14062.73,13856.83,14016.81,4138.78,4194.17,4138.78,4180.17
4/22/2021,13952.57,14015.87,13771.04,13818.41,4170.46,4179.57,4123.69,4134.98
4/21/2021,13745.77,13951.35,13706.86,13950.22,4128.42,4175.02,4126.35,4173.42
4/20/2021,13894.46,13927.67,13698.67,13786.27,4159.18,4159.18,4118.38,4134.94
4/19/2021,13984.58,14041.79,13842.57,13914.77,4179.8,4180.81,4150.47,4163.26
4/16/2021,14059.11,14062.5,13977.05,14052.34,4174.14,4191.31,4170.75,4185.47
4/15/2021,13983.23,14049.13,13970.42,14038.76,4139.76,4173.49,4139.76,4170.42
4/14/2021,14004.08,14033.63,13839.04,13857.84,4141.58,4151.69,4120.87,4124.66
4/13/2021,13902.45,14011.51,13902.45,13996.1,4130.1,4148,4124.43,4141.59
4/12/2021,13854.44,13877,13783.95,13850,4124.71,4131.76,4114.82,4127.99
4/9/2021,13787.02,13905.41,13748.35,13900.19,4096.11,4129.48,4095.51,4128.8
4/8/2021,13796.89,13830.14,13758.71,13829.31,4089.95,4098.19,4082.54,4097.17
4/7/2021,13675.3,13733.03,13653.59,13688.84,4074.29,4083.13,4068.31,4079.95
4/6/2021,13681.67,13776.71,13674.28,13698.38,4075.57,4086.23,4068.14,4073.94
4/5/2021,13705.59,13720.58,13582.76,13705.59,4034.44,4083.42,4034.44,4077.91
4/1/2021,13414.32,13487.08,13404.18,13480.11,3992.78,4020.63,3992.78,4019.87
3/31/2021,13122.57,13325.54,13118.38,13246.87,3967.25,3994.41,3966.98,3972.89
3/30/2021,13008.8,13075.75,12922.57,13045.39,3963.34,3968.01,3944.35,3958.55
3/29/2021,13103.97,13143.41,12968.16,13059.65,3969.31,3981.83,3943.25,3971.09
3/26/2021,12996.03,13149.55,12878.72,13138.72,3917.12,3978.19,3917.12,3974.54
3/25/2021,12844.58,13021.86,12786.81,12977.68,3879.34,3919.54,3853.5,3909.52
